STOP_ID,CHANGE
20009805,ADD
20020953,ADD
20020954,ADD
20020955,ADD
20020956,ADD
20020957,ADD
20020958,ADD
20020959,ADD
20020986,ADD
20000545,DELETE
20007345,DELETE
20011480,DELETE
20000003,UPDATE
20000004,UPDATE
20000007,UPDATE
20000008,UPDATE
20000009,UPDATE
20000010,UPDATE
20000011,UPDATE
20000012,UPDATE
20000013,UPDATE
20000015,UPDATE
20000016,UPDATE
20000017,UPDATE
20000018,UPDATE
20000019,UPDATE
20000020,UPDATE
20000021,UPDATE
20000024,UPDATE
20000025,UPDATE
20000026,UPDATE
20000048,UPDATE
20000049,UPDATE
20000052,UPDATE
20000053,UPDATE
20000057,UPDATE
20000058,UPDATE
20000066,UPDATE
20000072,UPDATE
20000075,UPDATE
20000080,UPDATE
20000081,UPDATE
20000084,UPDATE
20000085,UPDATE
20000088,UPDATE
20000089,UPDATE
20000090,UPDATE
20000091,UPDATE
20000092,UPDATE
20000093,UPDATE
20000094,UPDATE
20000095,UPDATE
20000096,UPDATE
20000097,UPDATE
20000098,UPDATE
20000099,UPDATE
20000101,UPDATE
20000102,UPDATE
20000103,UPDATE
20000104,UPDATE
20000105,UPDATE
20000106,UPDATE
20000107,UPDATE
20000108,UPDATE
20000109,UPDATE
20000110,UPDATE
20000111,UPDATE
20000118,UPDATE
20000119,UPDATE
20000120,UPDATE
20000121,UPDATE
20000122,UPDATE
20000123,UPDATE
20000124,UPDATE
20000125,UPDATE
20000126,UPDATE
20000127,UPDATE
20000130,UPDATE
20000134,UPDATE
20000135,UPDATE
20000136,UPDATE
20000137,UPDATE
20000138,UPDATE
20000139,UPDATE
20000140,UPDATE
20000142,UPDATE
20000143,UPDATE
20000146,UPDATE
20000147,UPDATE
20000152,UPDATE
20000157,UPDATE
20000159,UPDATE
20000160,UPDATE
20000161,UPDATE
20000165,UPDATE
20000166,UPDATE
20000169,UPDATE
20000173,UPDATE
20000174,UPDATE
20000175,UPDATE
20000177,UPDATE
20000210,UPDATE
20000211,UPDATE
20000215,UPDATE
20000218,UPDATE
20000219,UPDATE
20000234,UPDATE
20000238,UPDATE
20000239,UPDATE
20000240,UPDATE
20000242,UPDATE
20000243,UPDATE
20000246,UPDATE
20000247,UPDATE
20000248,UPDATE
20000249,UPDATE
20000251,UPDATE
20000253,UPDATE
20000254,UPDATE
20000255,UPDATE
20000256,UPDATE
20000257,UPDATE
20000258,UPDATE
20000260,UPDATE
20000263,UPDATE
20000264,UPDATE
20000266,UPDATE
20000267,UPDATE
20000268,UPDATE
20000270,UPDATE
20000271,UPDATE
20000272,UPDATE
20000273,UPDATE
20000274,UPDATE
20000275,UPDATE
20000276,UPDATE
20000277,UPDATE
20000281,UPDATE
20000282,UPDATE
20000283,UPDATE
20000284,UPDATE
20000289,UPDATE
20000290,UPDATE
20000294,UPDATE
20000295,UPDATE
20000296,UPDATE
20000297,UPDATE
20000298,UPDATE
20000299,UPDATE
20000300,UPDATE
20000302,UPDATE
20000303,UPDATE
20000304,UPDATE
20000305,UPDATE
20000307,UPDATE
20000308,UPDATE
20000309,UPDATE
20000310,UPDATE
20000311,UPDATE
20000312,UPDATE
20000313,UPDATE
20000314,UPDATE
20000315,UPDATE
20000318,UPDATE
20000322,UPDATE
20000324,UPDATE
20000325,UPDATE
20000326,UPDATE
20000327,UPDATE
20000328,UPDATE
20000329,UPDATE
20000330,UPDATE
20000331,UPDATE
20000332,UPDATE
20000334,UPDATE
20000335,UPDATE
20000336,UPDATE
20000338,UPDATE
20000340,UPDATE
20000341,UPDATE
20000342,UPDATE
20000343,UPDATE
20000347,UPDATE
20000348,UPDATE
20000349,UPDATE
20000352,UPDATE
20000356,UPDATE
20000358,UPDATE
20000359,UPDATE
20000360,UPDATE
20000361,UPDATE
20000362,UPDATE
20000363,UPDATE
20000366,UPDATE
20000367,UPDATE
20000368,UPDATE
20000369,UPDATE
20000370,UPDATE
20000378,UPDATE
20000380,UPDATE
20000383,UPDATE
20000394,UPDATE
20000396,UPDATE
20000398,UPDATE
20000409,UPDATE
20000411,UPDATE
20000418,UPDATE
20000420,UPDATE
20000433,UPDATE
20000440,UPDATE
20000443,UPDATE
20000444,UPDATE
20000446,UPDATE
20000453,UPDATE
20000454,UPDATE
20000456,UPDATE
20000458,UPDATE
20000462,UPDATE
20000465,UPDATE
20000466,UPDATE
20000467,UPDATE
20000468,UPDATE
20000469,UPDATE
20000470,UPDATE
20000472,UPDATE
20000473,UPDATE
20000475,UPDATE
20000476,UPDATE
20000478,UPDATE
20000479,UPDATE
20000482,UPDATE
20000483,UPDATE
20000484,UPDATE
20000489,UPDATE
20000490,UPDATE
20000506,UPDATE
20000508,UPDATE
20000519,UPDATE
20000540,UPDATE
20000541,UPDATE
20000544,UPDATE
20000546,UPDATE
20000547,UPDATE
20000550,UPDATE
20000551,UPDATE
20000553,UPDATE
20000554,UPDATE
20000556,UPDATE
20000557,UPDATE
20000558,UPDATE
20000561,UPDATE
20000563,UPDATE
20000566,UPDATE
20000568,UPDATE
20000580,UPDATE
20000581,UPDATE
20000582,UPDATE
20000583,UPDATE
20000584,UPDATE
20000585,UPDATE
20000586,UPDATE
20000588,UPDATE
20000589,UPDATE
20000590,UPDATE
20000591,UPDATE
20000592,UPDATE
20000594,UPDATE
20000595,UPDATE
20000596,UPDATE
20000597,UPDATE
20000598,UPDATE
20000599,UPDATE
20000600,UPDATE
20000603,UPDATE
20000604,UPDATE
20000607,UPDATE
20000613,UPDATE
20000615,UPDATE
20000620,UPDATE
20000622,UPDATE
20000625,UPDATE
20000626,UPDATE
20000627,UPDATE
20000628,UPDATE
20000629,UPDATE
20000630,UPDATE
20000631,UPDATE
20000633,UPDATE
20000662,UPDATE
20000673,UPDATE
20000678,UPDATE
20000680,UPDATE
20000681,UPDATE
20000682,UPDATE
20000683,UPDATE
20000684,UPDATE
20000685,UPDATE
20000686,UPDATE
20000687,UPDATE
20000688,UPDATE
20000690,UPDATE
20000691,UPDATE
20000694,UPDATE
20000696,UPDATE
20000697,UPDATE
20000698,UPDATE
20000700,UPDATE
20000701,UPDATE
20000702,UPDATE
20000703,UPDATE
20000704,UPDATE
20000706,UPDATE
20000707,UPDATE
20000709,UPDATE
20000710,UPDATE
20000714,UPDATE
20000715,UPDATE
20000716,UPDATE
20000717,UPDATE
20000718,UPDATE
20000719,UPDATE
20000720,UPDATE
20000721,UPDATE
20000723,UPDATE
20000724,UPDATE
20000725,UPDATE
20000726,UPDATE
20000727,UPDATE
20000731,UPDATE
20000733,UPDATE
20000735,UPDATE
20000736,UPDATE
20000737,UPDATE
20000739,UPDATE
20000740,UPDATE
20000742,UPDATE
20000744,UPDATE
20000745,UPDATE
20000746,UPDATE
20000747,UPDATE
20000748,UPDATE
20000749,UPDATE
20000752,UPDATE
20000753,UPDATE
20000758,UPDATE
20000761,UPDATE
20000762,UPDATE
20000763,UPDATE
20000772,UPDATE
20000785,UPDATE
20000786,UPDATE
20000787,UPDATE
20000788,UPDATE
20000789,UPDATE
20000790,UPDATE
20000791,UPDATE
20000794,UPDATE
20000796,UPDATE
20000797,UPDATE
20000798,UPDATE
20000799,UPDATE
20000800,UPDATE
20000801,UPDATE
20000802,UPDATE
20000808,UPDATE
20000809,UPDATE
20000810,UPDATE
20000814,UPDATE
20000815,UPDATE
20000819,UPDATE
20000820,UPDATE
20000821,UPDATE
20000823,UPDATE
20000824,UPDATE
20000831,UPDATE
20000859,UPDATE
20000866,UPDATE
20000867,UPDATE
20000868,UPDATE
20000870,UPDATE
20000872,UPDATE
20000894,UPDATE
20000895,UPDATE
20000905,UPDATE
20000907,UPDATE
20000909,UPDATE
20000911,UPDATE
20000912,UPDATE
20000916,UPDATE
20000923,UPDATE
20000935,UPDATE
20000936,UPDATE
20000946,UPDATE
20000952,UPDATE
20000953,UPDATE
20000954,UPDATE
20000955,UPDATE
20000960,UPDATE
20000968,UPDATE
20000969,UPDATE
20000973,UPDATE
20000975,UPDATE
20000976,UPDATE
20000978,UPDATE
20000980,UPDATE
20000983,UPDATE
20000985,UPDATE
20000986,UPDATE
20000987,UPDATE
20000988,UPDATE
20000989,UPDATE
20000990,UPDATE
20000991,UPDATE
20000992,UPDATE
20000993,UPDATE
20000994,UPDATE
20000995,UPDATE
20001020,UPDATE
20001039,UPDATE
20001045,UPDATE
20001049,UPDATE
20001050,UPDATE
20001053,UPDATE
20001058,UPDATE
20001060,UPDATE
20001082,UPDATE
20001093,UPDATE
20001099,UPDATE
20001112,UPDATE
20001113,UPDATE
20001114,UPDATE
20001115,UPDATE
20001116,UPDATE
20001117,UPDATE
20001118,UPDATE
20001119,UPDATE
20001120,UPDATE
20001121,UPDATE
20001128,UPDATE
20001129,UPDATE
20001130,UPDATE
20001133,UPDATE
20001137,UPDATE
20001140,UPDATE
20001142,UPDATE
20001144,UPDATE
20001145,UPDATE
20001146,UPDATE
20001149,UPDATE
20001150,UPDATE
20001151,UPDATE
20001152,UPDATE
20001154,UPDATE
20001159,UPDATE
20001161,UPDATE
20001162,UPDATE
20001163,UPDATE
20001164,UPDATE
20001166,UPDATE
20001169,UPDATE
20001170,UPDATE
20001171,UPDATE
20001172,UPDATE
20001174,UPDATE
20001175,UPDATE
20001193,UPDATE
20001194,UPDATE
20001196,UPDATE
20001197,UPDATE
20001198,UPDATE
20001199,UPDATE
20001200,UPDATE
20001202,UPDATE
20001203,UPDATE
20001205,UPDATE
20001207,UPDATE
20001208,UPDATE
20001209,UPDATE
20001210,UPDATE
20001212,UPDATE
20001214,UPDATE
20001217,UPDATE
20001218,UPDATE
20001219,UPDATE
20001220,UPDATE
20001221,UPDATE
20001222,UPDATE
20001224,UPDATE
20001225,UPDATE
20001226,UPDATE
20001227,UPDATE
20001228,UPDATE
20001229,UPDATE
20001230,UPDATE
20001231,UPDATE
20001234,UPDATE
20001235,UPDATE
20001236,UPDATE
20001238,UPDATE
20001239,UPDATE
20001240,UPDATE
20001241,UPDATE
20001242,UPDATE
20001243,UPDATE
20001244,UPDATE
20001245,UPDATE
20001248,UPDATE
20001249,UPDATE
20001253,UPDATE
20001263,UPDATE
20001264,UPDATE
20001266,UPDATE
20001268,UPDATE
20001269,UPDATE
20001271,UPDATE
20001272,UPDATE
20001274,UPDATE
20001276,UPDATE
20001278,UPDATE
20001280,UPDATE
20001281,UPDATE
20001282,UPDATE
20001283,UPDATE
20001286,UPDATE
20001287,UPDATE
20001288,UPDATE
20001289,UPDATE
20001296,UPDATE
20001305,UPDATE
20001306,UPDATE
20001308,UPDATE
20001309,UPDATE
20001310,UPDATE
20001311,UPDATE
20001312,UPDATE
20001313,UPDATE
20001314,UPDATE
20001318,UPDATE
20001319,UPDATE
20001321,UPDATE
20001322,UPDATE
20001323,UPDATE
20001324,UPDATE
20001325,UPDATE
20001326,UPDATE
20001327,UPDATE
20001332,UPDATE
20001333,UPDATE
20001336,UPDATE
20001337,UPDATE
20001338,UPDATE
20001339,UPDATE
20001341,UPDATE
20001342,UPDATE
20001344,UPDATE
20001346,UPDATE
20001347,UPDATE
20001348,UPDATE
20001349,UPDATE
20001351,UPDATE
20001352,UPDATE
20001353,UPDATE
20001354,UPDATE
20001355,UPDATE
20001356,UPDATE
20001357,UPDATE
20001358,UPDATE
20001359,UPDATE
20001360,UPDATE
20001363,UPDATE
20001365,UPDATE
20001368,UPDATE
20001369,UPDATE
20001370,UPDATE
20001372,UPDATE
20001373,UPDATE
20001374,UPDATE
20001376,UPDATE
20001377,UPDATE
20001378,UPDATE
20001379,UPDATE
20001380,UPDATE
20001381,UPDATE
20001382,UPDATE
20001384,UPDATE
20001385,UPDATE
20001386,UPDATE
20001387,UPDATE
20001389,UPDATE
20001390,UPDATE
20001391,UPDATE
20001392,UPDATE
20001393,UPDATE
20001394,UPDATE
20001396,UPDATE
20001397,UPDATE
20001398,UPDATE
20001399,UPDATE
20001400,UPDATE
20001401,UPDATE
20001402,UPDATE
20001403,UPDATE
20001404,UPDATE
20001405,UPDATE
20001406,UPDATE
20001413,UPDATE
20001418,UPDATE
20001427,UPDATE
20001428,UPDATE
20001429,UPDATE
20001430,UPDATE
20001445,UPDATE
20001453,UPDATE
20001455,UPDATE
20001456,UPDATE
20001457,UPDATE
20001460,UPDATE
20001466,UPDATE
20001467,UPDATE
20001468,UPDATE
20001469,UPDATE
20001470,UPDATE
20001471,UPDATE
20001473,UPDATE
20001474,UPDATE
20001475,UPDATE
20001476,UPDATE
20001477,UPDATE
20001478,UPDATE
20001479,UPDATE
20001480,UPDATE
20001483,UPDATE
20001492,UPDATE
20001493,UPDATE
20001494,UPDATE
20001495,UPDATE
20001496,UPDATE
20001497,UPDATE
20001499,UPDATE
20001501,UPDATE
20001502,UPDATE
20001505,UPDATE
20001506,UPDATE
20001507,UPDATE
20001510,UPDATE
20001513,UPDATE
20001514,UPDATE
20001515,UPDATE
20001516,UPDATE
20001518,UPDATE
20001520,UPDATE
20001521,UPDATE
20001522,UPDATE
20001523,UPDATE
20001524,UPDATE
20001525,UPDATE
20001544,UPDATE
20001545,UPDATE
20001547,UPDATE
20001549,UPDATE
20001550,UPDATE
20001551,UPDATE
20001553,UPDATE
20001554,UPDATE
20001556,UPDATE
20001557,UPDATE
20001563,UPDATE
20001564,UPDATE
20001567,UPDATE
20001569,UPDATE
20001570,UPDATE
20001571,UPDATE
20001572,UPDATE
20001573,UPDATE
20001580,UPDATE
20001581,UPDATE
20001582,UPDATE
20001599,UPDATE
20001600,UPDATE
20001601,UPDATE
20001603,UPDATE
20001606,UPDATE
20001615,UPDATE
20001616,UPDATE
20001618,UPDATE
20001620,UPDATE
20001629,UPDATE
20001643,UPDATE
20001646,UPDATE
20001654,UPDATE
20001655,UPDATE
20001656,UPDATE
20001658,UPDATE
20001660,UPDATE
20001661,UPDATE
20001670,UPDATE
20001671,UPDATE
20001672,UPDATE
20001675,UPDATE
20001676,UPDATE
20001677,UPDATE
20001679,UPDATE
20001680,UPDATE
20001687,UPDATE
20001690,UPDATE
20001696,UPDATE
20001698,UPDATE
20001716,UPDATE
20001726,UPDATE
20001730,UPDATE
20001731,UPDATE
20001732,UPDATE
20001734,UPDATE
20001737,UPDATE
20001740,UPDATE
20001742,UPDATE
20001746,UPDATE
20001754,UPDATE
20001755,UPDATE
20001756,UPDATE
20001757,UPDATE
20001759,UPDATE
20001760,UPDATE
20001783,UPDATE
20001792,UPDATE
20001801,UPDATE
20001803,UPDATE
20001804,UPDATE
20001814,UPDATE
20001815,UPDATE
20001816,UPDATE
20001817,UPDATE
20001818,UPDATE
20001819,UPDATE
20001837,UPDATE
20001848,UPDATE
20001851,UPDATE
20001854,UPDATE
20001860,UPDATE
20001861,UPDATE
20001862,UPDATE
20001864,UPDATE
20001872,UPDATE
20001873,UPDATE
20001876,UPDATE
20001877,UPDATE
20001887,UPDATE
20001888,UPDATE
20001889,UPDATE
20001893,UPDATE
20001894,UPDATE
20001909,UPDATE
20001926,UPDATE
20001942,UPDATE
20001944,UPDATE
20001951,UPDATE
20001955,UPDATE
20001957,UPDATE
20001961,UPDATE
20001963,UPDATE
20001964,UPDATE
20001966,UPDATE
20001968,UPDATE
20001969,UPDATE
20001970,UPDATE
20001972,UPDATE
20001973,UPDATE
20001974,UPDATE
20001993,UPDATE
20001994,UPDATE
20001996,UPDATE
20001998,UPDATE
20001999,UPDATE
20002000,UPDATE
20002001,UPDATE
20002002,UPDATE
20002003,UPDATE
20002005,UPDATE
20002010,UPDATE
20002012,UPDATE
20002013,UPDATE
20002020,UPDATE
20002021,UPDATE
20002022,UPDATE
20002027,UPDATE
20002030,UPDATE
20002031,UPDATE
20002032,UPDATE
20002033,UPDATE
20002034,UPDATE
20002035,UPDATE
20002036,UPDATE
20002037,UPDATE
20002040,UPDATE
20002043,UPDATE
20002044,UPDATE
20002046,UPDATE
20002048,UPDATE
20002050,UPDATE
20002053,UPDATE
20002054,UPDATE
20002057,UPDATE
20002058,UPDATE
20002059,UPDATE
20002062,UPDATE
20002066,UPDATE
20002069,UPDATE
20002070,UPDATE
20002071,UPDATE
20002073,UPDATE
20002077,UPDATE
20002079,UPDATE
20002080,UPDATE
20002081,UPDATE
20002082,UPDATE
20002083,UPDATE
20002084,UPDATE
20002085,UPDATE
20002087,UPDATE
20002090,UPDATE
20002096,UPDATE
20002101,UPDATE
20002102,UPDATE
20002103,UPDATE
20002104,UPDATE
20002105,UPDATE
20002106,UPDATE
20002107,UPDATE
20002110,UPDATE
20002111,UPDATE
20002112,UPDATE
20002113,UPDATE
20002115,UPDATE
20002116,UPDATE
20002119,UPDATE
20002120,UPDATE
20002121,UPDATE
20002122,UPDATE
20002123,UPDATE
20002124,UPDATE
20002125,UPDATE
20002126,UPDATE
20002127,UPDATE
20002131,UPDATE
20002133,UPDATE
20002141,UPDATE
20002145,UPDATE
20002148,UPDATE
20002159,UPDATE
20002163,UPDATE
20002164,UPDATE
20002170,UPDATE
20002176,UPDATE
20002177,UPDATE
20002178,UPDATE
20002179,UPDATE
20002180,UPDATE
20002181,UPDATE
20002182,UPDATE
20002183,UPDATE
20002184,UPDATE
20002185,UPDATE
20002187,UPDATE
20002188,UPDATE
20002189,UPDATE
20002190,UPDATE
20002191,UPDATE
20002192,UPDATE
20002193,UPDATE
20002194,UPDATE
20002195,UPDATE
20002196,UPDATE
20002197,UPDATE
20002198,UPDATE
20002199,UPDATE
20002203,UPDATE
20002210,UPDATE
20002211,UPDATE
20002216,UPDATE
20002217,UPDATE
20002218,UPDATE
20002221,UPDATE
20002222,UPDATE
20002223,UPDATE
20002225,UPDATE
20002226,UPDATE
20002227,UPDATE
20002228,UPDATE
20002229,UPDATE
20002230,UPDATE
20002232,UPDATE
20002235,UPDATE
20002236,UPDATE
20002237,UPDATE
20002238,UPDATE
20002241,UPDATE
20002242,UPDATE
20002243,UPDATE
20002244,UPDATE
20002245,UPDATE
20002246,UPDATE
20002247,UPDATE
20002248,UPDATE
20002249,UPDATE
20002250,UPDATE
20002251,UPDATE
20002252,UPDATE
20002253,UPDATE
20002254,UPDATE
20002255,UPDATE
20002256,UPDATE
20002257,UPDATE
20002258,UPDATE
20002259,UPDATE
20002260,UPDATE
20002261,UPDATE
20002262,UPDATE
20002263,UPDATE
20002264,UPDATE
20002273,UPDATE
20002274,UPDATE
20002275,UPDATE
20002276,UPDATE
20002277,UPDATE
20002281,UPDATE
20002282,UPDATE
20002283,UPDATE
20002284,UPDATE
20002285,UPDATE
20002286,UPDATE
20002287,UPDATE
20002288,UPDATE
20002289,UPDATE
20002290,UPDATE
20002293,UPDATE
20002294,UPDATE
20002295,UPDATE
20002297,UPDATE
20002298,UPDATE
20002299,UPDATE
20002307,UPDATE
20002312,UPDATE
20002313,UPDATE
20002314,UPDATE
20002315,UPDATE
20002317,UPDATE
20002320,UPDATE
20002321,UPDATE
20002322,UPDATE
20002327,UPDATE
20002366,UPDATE
20002381,UPDATE
20002391,UPDATE
20002394,UPDATE
20002395,UPDATE
20002403,UPDATE
20002406,UPDATE
20002407,UPDATE
20002413,UPDATE
20002414,UPDATE
20002415,UPDATE
20002416,UPDATE
20002419,UPDATE
20002430,UPDATE
20002436,UPDATE
20002437,UPDATE
20002465,UPDATE
20002474,UPDATE
20002491,UPDATE
20002492,UPDATE
20002493,UPDATE
20002494,UPDATE
20002495,UPDATE
20002496,UPDATE
20002497,UPDATE
20002501,UPDATE
20002502,UPDATE
20002523,UPDATE
20002524,UPDATE
20002551,UPDATE
20002553,UPDATE
20002563,UPDATE
20002565,UPDATE
20002566,UPDATE
20002567,UPDATE
20002568,UPDATE
20002570,UPDATE
20002571,UPDATE
20002578,UPDATE
20002597,UPDATE
20002599,UPDATE
20002600,UPDATE
20002601,UPDATE
20002602,UPDATE
20002603,UPDATE
20002605,UPDATE
20002606,UPDATE
20002608,UPDATE
20002614,UPDATE
20002622,UPDATE
20002623,UPDATE
20002633,UPDATE
20002634,UPDATE
20002646,UPDATE
20002647,UPDATE
20002648,UPDATE
20002649,UPDATE
20002650,UPDATE
20002652,UPDATE
20002654,UPDATE
20002655,UPDATE
20002663,UPDATE
20002670,UPDATE
20002671,UPDATE
20002675,UPDATE
20002676,UPDATE
20002677,UPDATE
20002713,UPDATE
20002719,UPDATE
20002734,UPDATE
20002735,UPDATE
20002740,UPDATE
20002749,UPDATE
20002787,UPDATE
20002790,UPDATE
20002799,UPDATE
20002816,UPDATE
20002839,UPDATE
20002841,UPDATE
20002846,UPDATE
20002870,UPDATE
20002871,UPDATE
20002953,UPDATE
20002981,UPDATE
20003008,UPDATE
20003010,UPDATE
20003011,UPDATE
20003024,UPDATE
20003028,UPDATE
20003029,UPDATE
20003030,UPDATE
20003031,UPDATE
20003045,UPDATE
20003048,UPDATE
20003049,UPDATE
20003050,UPDATE
20003051,UPDATE
20003052,UPDATE
20003054,UPDATE
20003055,UPDATE
20003056,UPDATE
20003065,UPDATE
20003070,UPDATE
20003072,UPDATE
20003075,UPDATE
20003076,UPDATE
20003080,UPDATE
20003082,UPDATE
20003083,UPDATE
20003084,UPDATE
20003085,UPDATE
20003087,UPDATE
20003089,UPDATE
20003090,UPDATE
20003094,UPDATE
20003101,UPDATE
20003105,UPDATE
20003108,UPDATE
20003110,UPDATE
20003117,UPDATE
20003128,UPDATE
20003129,UPDATE
20003132,UPDATE
20003138,UPDATE
20003139,UPDATE
20003142,UPDATE
20003145,UPDATE
20003149,UPDATE
20003150,UPDATE
20003151,UPDATE
20003154,UPDATE
20003160,UPDATE
20003161,UPDATE
20003162,UPDATE
20003163,UPDATE
20003164,UPDATE
20003165,UPDATE
20003166,UPDATE
20003167,UPDATE
20003174,UPDATE
20003175,UPDATE
20003176,UPDATE
20003178,UPDATE
20003179,UPDATE
20003183,UPDATE
20003184,UPDATE
20003188,UPDATE
20003189,UPDATE
20003190,UPDATE
20003191,UPDATE
20003192,UPDATE
20003193,UPDATE
20003196,UPDATE
20003197,UPDATE
20003198,UPDATE
20003200,UPDATE
20003201,UPDATE
20003202,UPDATE
20003203,UPDATE
20003204,UPDATE
20003205,UPDATE
20003224,UPDATE
20003225,UPDATE
20003233,UPDATE
20003237,UPDATE
20003238,UPDATE
20003242,UPDATE
20003243,UPDATE
20003244,UPDATE
20003245,UPDATE
20003246,UPDATE
20003249,UPDATE
20003250,UPDATE
20003259,UPDATE
20003261,UPDATE
20003263,UPDATE
20003264,UPDATE
20003266,UPDATE
20003273,UPDATE
20003278,UPDATE
20003279,UPDATE
20003281,UPDATE
20003282,UPDATE
20003310,UPDATE
20003314,UPDATE
20003318,UPDATE
20003322,UPDATE
20003325,UPDATE
20003326,UPDATE
20003328,UPDATE
20003329,UPDATE
20003330,UPDATE
20003336,UPDATE
20003337,UPDATE
20003338,UPDATE
20003341,UPDATE
20003346,UPDATE
20003351,UPDATE
20003353,UPDATE
20003354,UPDATE
20003355,UPDATE
20003357,UPDATE
20003363,UPDATE
20003365,UPDATE
20003373,UPDATE
20003377,UPDATE
20003387,UPDATE
20003393,UPDATE
20003394,UPDATE
20003397,UPDATE
20003404,UPDATE
20003405,UPDATE
20003420,UPDATE
20003421,UPDATE
20003423,UPDATE
20003424,UPDATE
20003425,UPDATE
20003426,UPDATE
